,Unnamed: 0,COUNTRY,YEAR,VISA APPROVED
0,14,BANGLADESH,2012,457565
1,168,UNITED KINGDOM,2012,405456
2,15,BANGLADESH,2013,372970
3,13,BANGLADESH,2011,293770
4,169,UNITED KINGDOM,2013,267256
5,170,USA,2012,241215
6,171,USA,2013,199659
7,147,SRI LANKA,2012,177929
8,53,GERMANY,2012,174035
9,50,FRANCE,2012,160992
10,90,MALAYSIA,2012,136676
11,32,CHINA,2012,133674
12,28,CANADA,2012,125785
13,54,GERMANY,2013,123595
14,129,RUSSIAN FEDERATION,2013,123580
15,167,UNITED KINGDOM,2011,118625
16,51,FRANCE,2013,115497
17,148,SRI LANKA,2013,113684
18,33,CHINA,2013,110295
19,91,MALAYSIA,2013,108820
20,4,AUSTRALIA,2012,100315
21,78,JAPAN,2013,97825
22,52,GERMANY,2011,96056
23,128,RUSSIAN FEDERATION,2012,95065
24,5,AUSTRALIA,2013,76065
25,165,UNITED ARAB EMIRATES,2012,71170
26,166,UNITED ARAB EMIRATES,2013,68381
27,75,ITALY,2012,63922
28,27,CANADA,2011,57756
29,77,JAPAN,2012,57598
30,160,THAILAND,2012,56845
31,136,SINGAPORE,2013,54894
32,84,KOREA(REPUBLIC OF),2013,52485
33,117,PAKISTAN,2013,51979
34,3,AUSTRALIA,2011,51455
35,83,KOREA(REPUBLIC OF),2012,49664
36,76,ITALY,2013,49266
37,144,SPAIN,2012,47814
38,161,THAILAND,2013,46974
39,103,NETHERLANDS,2012,44673
40,135,SINGAPORE,2012,44128
41,115,OMAN,2013,42847
42,29,CANADA,2013,42640
43,31,CHINA,2011,39526
44,49,FRANCE,2011,39288
45,156,SWITZERLAND,2012,33326
46,146,SRI LANKA,2011,32734
47,153,SWEDEN,2012,31437
48,102,NETHERLANDS,2011,31160
49,104,NETHERLANDS,2013,29856
50,145,SPAIN,2013,29419
51,17,BELGIUM,2012,28095
52,12,BANGLADESH,2010,27746
53,73,ISRAEL,2013,27172
54,157,SWITZERLAND,2013,24011
55,141,SOUTH AFRICA,2013,23976
56,7,AUSTRIA,2012,23957
57,89,MALAYSIA,2011,23381
58,154,SWEDEN,2013,22710
59,18,BELGIUM,2013,20413
60,159,TAIWAN,2013,20321
61,158,TAIWAN,2012,19716
62,69,IRAN,2013,19176
63,68,IRAN,2012,18727
64,155,SWITZERLAND,2011,17641
65,8,AUSTRIA,2013,17363
66,47,FINLAND,2012,16315
67,109,NIGERIA,2012,16060
68,112,NORWAY,2012,15556
69,66,INDONESIA,2013,14824
70,124,POLAND,2013,14627
71,114,OMAN,2012,14408
72,16,BELGIUM,2011,14395
73,106,NEW ZEALAND,2012,13877
74,140,SOUTH AFRICA,2012,13272
75,72,ISRAEL,2012,11558
76,122,PHILIPPINES,2013,10926
77,110,NIGERIA,2013,10850
78,41,DENMARK,2013,10549
79,48,FINLAND,2013,10502
80,131,SAUDI ARABIA,2012,10399
81,46,FINLAND,2011,10389
82,113,NORWAY,2013,10349
83,176,YEMEN,2013,9728
84,107,NEW ZEALAND,2013,9378
85,80,KAZAKHSTAN,2013,9224
86,20,BRAZIL,2013,9120
87,65,INDONESIA,2012,8341
88,123,POLAND,2012,8272
89,82,KENYA,2013,8213
90,71,IRELAND,2013,8042
91,94,MAURITIUS,2013,7821
92,175,VIETNAM,2013,7594
93,11,BAHRAIN,2013,7201
94,96,MEXICO,2013,7059
95,10,BAHRAIN,2012,6858
96,101,NEPAL,2013,6831
97,1,ARGENTINA,2013,6805
98,163,UKRAINE,2013,6571
99,162,TURKEY,2013,6565
100,99,MYANMAR,2013,6389
101,132,SAUDI ARABIA,2013,6368
102,174,VIETNAM,2012,6234
103,39,CZECH,2013,6146
104,126,PORTUGAL,2013,5878
105,74,ITALY,2011,5307
106,105,NEW ZEALAND,2011,4962
107,164,UNITED ARAB EMIRATES,2011,4798
108,56,GHANA,2013,4041
109,19,BRAZIL,2012,3934
110,43,EGYPT,2013,3884
111,125,PORTUGAL,2012,3839
112,79,KAZAKHSTAN,2012,3791
113,40,DENMARK,2012,3639
114,42,EGYPT,2012,3635
115,62,HUNGARY,2013,3635
116,35,COLOMBIA,2013,3335
117,58,GREECE,2013,3199
118,55,GHANA,2012,2807
119,95,MEXICO,2012,2801
120,57,GREECE,2012,2800
121,98,MOZAMBIQUE,2013,2656
122,61,HUNGARY,2012,2508
123,121,PHILIPPINES,2012,2426
124,143,SPAIN,2011,2424
125,0,ARGENTINA,2012,2253
126,45,ETHIOPIA,2013,2129
127,111,NORWAY,2011,2121
128,81,KENYA,2012,1911
129,25,CAMBODIA,2013,1880
130,24,CAMBODIA,2012,1790
131,6,AUSTRIA,2011,1744
132,92,MALDIVES,2012,1491
133,172,UZBEKISTAN,2013,1491
134,139,SLOVENIA,2013,1462
135,138,SLOVENIA,2012,1451
136,44,ETHIOPIA,2012,1375
137,100,NEPAL,2012,1326
138,151,SUDAN,2013,1195
139,37,CROATIA,2013,1176
140,116,PAKISTAN,2012,1123
141,34,COLOMBIA,2012,1101
142,93,MALDIVES,2013,1052
143,127,ROMANIA,2013,1052
144,120,PERU,2013,1051
145,30,CHILE,2013,960
146,38,CZECH,2012,847
147,87,LAOS,2013,763
148,85,KUWAIT,2013,715
149,23,BULGARIA,2013,711
150,97,MOZAMBIQUE,2012,673
151,137,SLOVAK REPUBLIC,2013,598
152,22,BRUNEI,2013,566
153,86,LAOS,2012,516
154,64,INDIA,2013,516
155,21,BRUNEI,2012,461
156,119,PERU,2012,363
157,60,GUATEMALA,2013,322
158,130,SAUDI ARABIA,2011,296
159,36,CROATIA,2012,215
160,70,IRELAND,2012,202
161,9,AZERBAIJAN,2013,182
162,2,ARMENIA,2013,178
163,88,LATVIA,2013,161
164,59,GUATEMALA,2012,131
165,133,SERBIA,2013,116
166,173,VENEZUELA,2013,103
167,67,IRAN,2011,101
168,134,SINGAPORE,2011,68
169,152,SWEDEN,2011,66
170,63,ICELAND,2013,60
171,118,PALESTINIAN,2013,33
172,142,SOUTH SUDAN,2012,5
173,149,SUDAN,2011,5
174,150,SUDAN,2012,2
175,108,NIGERIA,2011,2
176,26,CANADA,2010,1
